"feature","coef","hr","hr_lower","hr_upper","se","z","pvalue","significant","hr_formatted"
"SaO2_std_prev",0.624301725362285,1.8669418640238,1.73332555210518,2.01085821380262,0.0378876926648876,16.4776918690764,5.30726937211932e-61,"Yes","1.87 (1.73-2.01)"
"BUN",0.501024576966609,1.65041137821321,1.54719455970648,1.76051402213589,0.0329496160584505,15.2057789103771,3.23756864536254e-52,"Yes","1.65 (1.55-1.76)"
"Age_x_AST",0.466587241745237,1.59454310673777,1.49323821187731,1.70272077088652,0.0334898894993918,13.932182181542,4.03826051849808e-44,"Yes","1.59 (1.49-1.70)"
"Potassium",-0.380680461169801,0.683396226365243,0.645239636665862,0.723809226326415,0.0293127756643489,-12.9868445598209,1.4529496747648e-38,"Yes","0.68 (0.65-0.72)"
"Age_x_ALT",0.325855000779815,1.38521449928798,1.30218050265487,1.4735431878496,0.0315381794340771,10.332080247718,5.04543339111607e-25,"Yes","1.39 (1.30-1.47)"
"Age_x_Potassium",-0.28377793152435,0.752933829010001,0.707663161617888,0.801100554070908,0.0316373098983055,-8.96972379878446,2.97258896007038e-19,"Yes","0.75 (0.71-0.80)"
"RR",-0.236136003937926,0.789673267955034,0.748114669765854,0.833540492285698,0.0275831668332909,-8.56087357064913,1.12015490758465e-17,"Yes","0.79 (0.75-0.83)"
"SBP_x_AST",-0.253810612400482,0.775838722366835,0.730164553815949,0.824369958768951,0.0309565008445903,-8.19894385591826,2.42508147753067e-16,"Yes","0.78 (0.73-0.82)"
"BT",-0.20075366083202,0.818113940240451,0.770523616506057,0.868643614391402,0.0305772004978365,-6.56546896260909,5.18693569074116e-11,"Yes","0.82 (0.77-0.87)"
"BT_x_Glucose",-0.20075366083202,0.818113940240451,0.770523616506057,0.868643614391402,0.0305772004978365,-6.56546896260909,5.18693569074116e-11,"Yes","0.82 (0.77-0.87)"
"time_since_admission_hours",-24.4640378794084,2.37357710325317e-11,7.94850443217622e-15,7.08796014792587e-08,4.08252792156736,-5.99237490824463,2.06798497120766e-09,"Yes","0.00 (0.00-0.00)"
"TS",-0.172437134691669,0.841611195296051,0.790840383328712,0.895641420164099,0.0317459121801408,-5.43179020067788,5.57914934018412e-08,"Yes","0.84 (0.79-0.90)"
"Gender",-0.127696200318122,0.880120718928141,0.826315319902295,0.937429648500502,0.0321850177374107,-3.96756656652989,7.26102347625098e-05,"Yes","0.88 (0.83-0.94)"
"day_cos",-0.112301842666258,0.893774437521561,0.840585858096068,0.950328556533586,0.0313032334027835,-3.58754768944321,0.000333802694045637,"Yes","0.89 (0.84-0.95)"
"HR",0.0764938538731605,1.07949555560017,1.01472664048672,1.14839860122482,0.0315686721275465,2.42309380527959,0.0153889523687555,"Yes","1.08 (1.01-1.15)"
"hour_of_day",-0.0415109041600564,0.959338874499803,0.902882868200584,1.0193249961213,0.0309446652460589,-1.34145591267442,0.17977247458245,"No","0.96 (0.90-1.02)"
"hour_sin",0.0408454371564224,1.04169108636557,0.980379837464263,1.10683663407453,0.030949301182655,1.31975313159295,0.186917454380143,"No","1.04 (0.98-1.11)"
"day_sin",-0.0331013888842936,0.967440466906802,0.910319877307543,1.0281452490932,0.0310499177696836,-1.06607009815057,0.28639195543897,"No","0.97 (0.91-1.03)"
"BT_trend",-0.0301566443235877,0.970293530669832,0.913118871201874,1.03104816399264,0.0309860020765405,-0.973234438218128,0.330436798498378,"No","0.97 (0.91-1.03)"
"SaO2_trend",0.0298145564917173,1.03026346056682,0.969472742271233,1.09486605646326,0.0310293247092287,0.960850961827407,0.336627110416736,"No","1.03 (0.97-1.09)"
"is_weekend",-0.029919152820534,0.970523994504352,0.912613362119902,1.03210939375325,0.03138970202092,-0.953151858548833,0.340513134136031,"No","0.97 (0.91-1.03)"
"Age",0.0276884934150026,1.02807538228445,0.966945143058926,1.09307027316533,0.031276534464798,0.885280095407191,0.376005582634388,"No","1.03 (0.97-1.09)"
"Age_x_Glucose",0.0276884934150026,1.02807538228445,0.966945143058926,1.09307027316533,0.031276534464798,0.885280095407191,0.376005582634388,"No","1.03 (0.97-1.09)"
"SBP_trend",-0.0261902485362136,0.97414974141584,0.91680428265263,1.0350821180229,0.030954598566905,-0.84608587249504,0.397504841282765,"No","0.97 (0.92-1.04)"
"platelet",0.0222504137072136,1.02249980037979,0.962246337949209,1.08652618414215,0.0309873501272086,0.718048287958529,0.472727513530306,"No","1.02 (0.96-1.09)"
"day_of_week",0.0202299907589615,1.02043600389147,0.960241158495578,1.08440429659294,0.0310208214592482,0.652142329162287,0.514309359511276,"No","1.02 (0.96-1.08)"
"BT_mean_prev",-0.00211183045918611,0.997890397885853,0.939744970167946,1.05963349398383,0.0306300604089987,-0.0689463367354537,0.945032334865359,"No","1.00 (0.94-1.06)"
"hour_cos",0.00185533302961531,1.00185705522486,0.942835948910584,1.06457285624672,0.0309787304762046,0.0598905442894256,0.952242810941385,"No","1.00 (0.94-1.06)"
"Glucose",NA,NA,NA,NA,0,NA,NA,NA,"NA (NA-NA)"
"Lactate",NA,NA,NA,NA,0,NA,NA,NA,"NA (NA-NA)"
"Creatinin",NA,NA,NA,NA,0,NA,NA,NA,"NA (NA-NA)"
